ranks,views,article,,,,,
58,1476317,Cristiano Ronaldo,Cristiano_Ronaldo,"""",Cristiano_Ronaldo,""",","""Cristiano_Ronaldo"","
59,1466201,Vikram Vedha (2022 film),Vikram_Vedha_(2022_film),"""",Vikram_Vedha_(2022_film),""",","""Vikram_Vedha_(2022_film)"","
60,1429772,United States,United_States,"""",United_States,""",","""United_States"","
61,1388278,Rishab Shetty,Rishab_Shetty,"""",Rishab_Shetty,""",","""Rishab_Shetty"","
62,1376344,Luckiest Girl Alive (film),Luckiest_Girl_Alive_(film),"""",Luckiest_Girl_Alive_(film),""",","""Luckiest_Girl_Alive_(film)"","
63,1364741,Jesse Anderson,Jesse_Anderson,"""",Jesse_Anderson,""",","""Jesse_Anderson"","
65,1361588,Charles III,Charles_III,"""",Charles_III,""",","""Charles_III"","
66,1358938,Andrew Tate,Andrew_Tate,"""",Andrew_Tate,""",","""Andrew_Tate"","
67,1358865,Ted Bundy,Ted_Bundy,"""",Ted_Bundy,""",","""Ted_Bundy"","
68,1349023,She-Hulk: Attorney at Law,She-Hulk:_Attorney_at_Law,"""",She-Hulk:_Attorney_at_Law,""",","""She-Hulk:_Attorney_at_Law"","
69,1345976,N. R. Narayana Murthy,N._R._Narayana_Murthy,"""",N._R._Narayana_Murthy,""",","""N._R._Narayana_Murthy"","
70,1344314,Suella Braverman,Suella_Braverman,"""",Suella_Braverman,""",","""Suella_Braverman"","
71,1340764,Midnights,Midnights,"""",Midnights,""",","""Midnights"","
72,1335496,Don't Worry Darling,Don't_Worry_Darling,"""",Don't_Worry_Darling,""",","""Don't_Worry_Darling"","
74,1321352,XXX (2002 film),XXX_(2002_film),"""",XXX_(2002_film),""",","""XXX_(2002_film)"","
75,1319670,Terrifier 2,Terrifier_2,"""",Terrifier_2,""",","""Terrifier_2"","
76,1288489,Taylor Swift,Taylor_Swift,"""",Taylor_Swift,""",","""Taylor_Swift"","
77,1286456,Lionel Messi,Lionel_Messi,"""",Lionel_Messi,""",","""Lionel_Messi"","
78,1285104,Godfather (2022 film),Godfather_(2022_film),"""",Godfather_(2022_film),""",","""Godfather_(2022_film)"","
79,1274121,India,India,"""",India,""",","""India"","
80,1272428,Werewolf by Night (TV special),Werewolf_by_Night_(TV_special),"""",Werewolf_by_Night_(TV_special),""",","""Werewolf_by_Night_(TV_special)"","
81,1257976,XXXX (beer),XXXX_(beer),"""",XXXX_(beer),""",","""XXXX_(beer)"","
82,1245359,Jamie Lee Curtis,Jamie_Lee_Curtis,"""",Jamie_Lee_Curtis,""",","""Jamie_Lee_Curtis"","
83,1226151,Web server directory index,Web_server_directory_index,"""",Web_server_directory_index,""",","""Web_server_directory_index"","
84,1219227,Barbarian (2022 film),Barbarian_(2022_film),"""",Barbarian_(2022_film),""",","""Barbarian_(2022_film)"","
85,1211791,Elvis Presley,Elvis_Presley,"""",Elvis_Presley,""",","""Elvis_Presley"","
86,1208404,Internet,Internet,"""",Internet,""",","""Internet"","
87,1207440,Ponniyin Selvan,Ponniyin_Selvan,"""",Ponniyin_Selvan,""",","""Ponniyin_Selvan"","
88,1195838,Herschel Walker,Herschel_Walker,"""",Herschel_Walker,""",","""Herschel_Walker"","
89,1181593,United Kingdom,United_Kingdom,"""",United_Kingdom,""",","""United_Kingdom"","
90,1172571,Hocus Pocus (1993 film),Hocus_Pocus_(1993_film),"""",Hocus_Pocus_(1993_film),""",","""Hocus_Pocus_(1993_film)"","
91,1158023,Hocus Pocus 2,Hocus_Pocus_2,"""",Hocus_Pocus_2,""",","""Hocus_Pocus_2"","
92,1148707,Tom Brady,Tom_Brady,"""",Tom_Brady,""",","""Tom_Brady"","
93,1143431,Google Translate,Google_Translate,"""",Google_Translate,""",","""Google_Translate"","
94,1124278,Brahmāstra: Part One – Shiva,Brahmāstra:_Part_One_–_Shiva,"""",Brahmāstra:_Part_One_–_Shiva,""",","""Brahmāstra:_Part_One_–_Shiva"","
95,1116472,UFC 280,UFC_280,"""",UFC_280,""",","""UFC_280"","
96,1113935,Skathi (moon),Skathi_(moon),"""",Skathi_(moon),""",","""Skathi_(moon)"","
97,1102546,The Midnight Club,The_Midnight_Club,"""",The_Midnight_Club,""",","""The_Midnight_Club"","
98,1092919,Luckiest Girl Alive,Luckiest_Girl_Alive,"""",Luckiest_Girl_Alive,""",","""Luckiest_Girl_Alive"","
99,1091568,Ed Gein,Ed_Gein,"""",Ed_Gein,""",","""Ed_Gein"","
100,1079970,Penny Mordaunt,Penny_Mordaunt,"""",Penny_Mordaunt,""",","""Penny_Mordaunt"","
101,1079585,Instagram,Instagram,"""",Instagram,""",","""Instagram"","
102,1073866,Dwayne Johnson,Dwayne_Johnson,"""",Dwayne_Johnson,""",","""Dwayne_Johnson"","
103,1070115,John Fetterman,John_Fetterman,"""",John_Fetterman,""",","""John_Fetterman"","
104,1069322,Hellraiser (2022 film),Hellraiser_(2022_film),"""",Hellraiser_(2022_film),""",","""Hellraiser_(2022_film)"","
105,1067341,Aaron Judge,Aaron_Judge,"""",Aaron_Judge,""",","""Aaron_Judge"","
106,1059877,List of A Certain Magical Index characters,List_of_A_Certain_Magical_Index_characters,"""",List_of_A_Certain_Magical_Index_characters,""",","""List_of_A_Certain_Magical_Index_characters"","
107,1051619,Black Panther: Wakanda Forever,Black_Panther:_Wakanda_Forever,"""",Black_Panther:_Wakanda_Forever,""",","""Black_Panther:_Wakanda_Forever"","
